wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
GRR,2021-07-01 05:08,2021-07-01 06:00,2021-07-01 05:08,202107010600,MA,P,W,17,NEW,,562.1963238509276,2021-07-01 05:08,,,,,False,2021-07-01 05:08,2021-07-01 05:33,40.0,0.75,,,202107010508-KGRR-WHUS53-SMWGRR,CAS,2021
EPZ,2021-06-28 12:44,2021-06-28 15:45,2021-06-28 12:44,202106281545,FA,P,Y,25,NEW,,125.54762508775195,2021-06-28 12:44,00000,N,ER,OO,False,2021-06-28 12:44,2021-06-28 15:41,,,,,202106281244-KEPZ-WGUS84-FLSEPZ,AB,2021
DDC,2021-06-30 13:27,2021-06-30 19:30,2021-06-30 13:27,202106301930,FA,P,W,6,NEW,,394.01920203643436,2021-06-30 13:27,00000,0,ER,OO,False,2021-06-30 13:27,2021-06-30 19:30,,,,,202106301327-KDDC-WGUS43-FLWDDC,UMSCHEID,2021
LUB,2021-06-26 02:16,2021-06-26 02:34,2021-06-26 02:16,202106260245,SV,P,W,214,NEW,,365.97759929958085,2021-06-26 02:16,,,,,False,2021-06-26 02:16,2021-06-26 02:26,70.0,1.0,,,202106260216-KLUB-WUUS54-SVRLUB,PAZOS,2021
OUN,2021-06-25 20:52,2021-06-25 21:45,2021-06-25 20:52,202106252145,SV,P,W,342,NEW,,1107.279943801339,2021-06-25 20:52,,,,,False,2021-06-25 20:52,2021-06-25 21:09,60.0,1.0,,,202106252052-KOUN-WUUS54-SVROUN,Mahale,2021
TWC,2021-06-29 22:20,2021-06-29 23:00,2021-06-29 22:20,202106292300,SV,P,W,5,NEW,,550.9339601389989,2021-06-29 22:20,,,,,False,2021-06-29 22:20,2021-06-29 22:37,60.0,1.0,,,202106292220-KTWC-WUUS55-SVRTWC,,2021
MAF,2021-06-29 15:30,2021-06-29 21:30,2021-06-29 15:30,202106292130,FA,P,W,7,NEW,,5128.493312154463,2021-06-29 15:30,00000,0,ER,OO,False,2021-06-29 15:30,2021-06-29 21:18,,,,,202106291530-KMAF-WGUS44-FLWMAF,Gregory Murdoch,2021
LKN,2021-07-01 22:42,2021-07-01 23:45,2021-07-01 22:42,202107012345,FA,P,Y,8,NEW,,695.8075795678236,2021-07-01 22:42,00000,N,ER,OO,False,2021-07-01 22:42,2021-07-01 23:19,,,,,202107012242-KLKN-WGUS85-FLSLKN,SS,2021
CLE,2021-06-29 23:29,2021-06-30 02:44,2021-06-29 23:29,202106300430,FF,P,W,10,NEW,,825.9740506273524,2021-06-29 23:29,00000,0,ER,OO,False,2021-06-29 23:29,2021-06-30 02:44,,,,,202106292329-KCLE-WGUS51-FFWCLE,,2021
ALY,2021-06-29 19:41,2021-06-29 19:54,2021-06-29 19:41,202106292030,SV,P,W,49,NEW,,119.41926658678314,2021-06-29 19:41,,,,,False,2021-06-29 19:41,2021-06-29 19:54,60.0,0.75,,,202106291941-KALY-WUUS51-SVRALY,JPV,2021
CTP,2021-06-30 02:42,2021-06-30 03:45,2021-06-30 02:42,202106300345,SV,P,W,62,NEW,,1542.7563269773952,2021-06-30 02:42,,,,,False,2021-06-30 02:42,2021-06-30 03:05,60.0,1.0,,,202106300242-KCTP-WUUS51-SVRCTP,Travis,2021
EAX,2021-06-25 01:14,2021-06-25 01:38,2021-06-25 01:14,202106250200,SV,P,W,59,NEW,,788.336543735168,2021-06-25 01:14,,,,,False,2021-06-25 01:14,2021-06-25 01:34,60.0,1.0,,,202106250114-KEAX-WUUS53-SVREAX,BMW,2021
MAF,2021-06-29 02:50,2021-06-29 03:45,2021-06-29 02:50,202106290345,FA,P,Y,112,NEW,,59.23498523555855,2021-06-29 02:50,00000,N,ER,OO,False,2021-06-29 02:50,2021-06-29 03:45,,,,,202106290250-KMAF-WGUS84-FLSMAF,James DeBerry,2021
LUB,2021-06-28 12:41,2021-06-28 14:51,2021-06-28 12:41,202106281500,FA,P,Y,71,NEW,,3137.6432340306787,2021-06-28 12:41,00000,N,ER,OO,False,2021-06-28 12:41,2021-06-28 14:51,,,,,202106281241-KLUB-WGUS84-FLSLUB,Lipe,2021
EPZ,2021-07-01 23:38,2021-07-02 01:30,2021-07-01 23:38,202107020130,FA,P,Y,67,NEW,,618.6123439004084,2021-07-01 23:38,00000,N,ER,OO,False,2021-07-01 23:38,2021-07-02 01:28,,,,,202107012338-KEPZ-WGUS84-FLSEPZ,JD,2021
EAX,2021-06-25 15:51,2021-06-26 19:40,2021-06-25 15:51,202106270936,FL,P,W,98,NEW,,401.92623616247744,2021-06-24 16:20,PATM7,2,ER,UU,False,2021-06-25 15:51,2021-06-25 02:40,,,,,202106241620-KEAX-WGUS43-FLWEAX,Blair,2021
LUB,2021-06-25 23:14,2021-06-25 23:36,2021-06-25 23:14,202106260000,SV,P,W,209,NEW,,1330.8224909130763,2021-06-25 23:14,,,,,False,2021-06-25 23:14,2021-06-25 23:25,60.0,0.75,,,202106252314-KLUB-WUUS54-SVRLUB,WCI,2021
