fips_code,county,state,customers_out,run_start_time
12003,Baker,Florida,2,2022-09-26 00:00:00
12007,Bradford,Florida,1,2022-09-26 00:00:00
12009,Brevard,Florida,2,2022-09-26 00:00:00
12011,Broward,Florida,88,2022-09-26 00:00:00
12015,Charlotte,Florida,11,2022-09-26 00:00:00
12017,Citrus,Florida,1,2022-09-26 00:00:00
12021,Collier,Florida,101,2022-09-26 00:00:00
12029,Dixie,Florida,25,2022-09-26 00:00:00
12031,Duval,Florida,54,2022-09-26 00:00:00
12033,Escambia,Florida,4,2022-09-26 00:00:00
12045,Gulf,Florida,1,2022-09-26 00:00:00
12055,Highlands,Florida,1,2022-09-26 00:00:00
12057,Hillsborough,Florida,8,2022-09-26 00:00:00
12061,Indian River,Florida,3,2022-09-26 00:00:00
12063,Jackson,Florida,4,2022-09-26 00:00:00
12071,Lee,Florida,431,2022-09-26 00:00:00
12073,Leon,Florida,2,2022-09-26 00:00:00
12083,Marion,Florida,2,2022-09-26 00:00:00
12085,Martin,Florida,4,2022-09-26 00:00:00
12086,Miami-Dade,Florida,276,2022-09-26 00:00:00
12095,Orange,Florida,29,2022-09-26 00:00:00
12099,Palm Beach,Florida,156,2022-09-26 00:00:00
12101,Pasco,Florida,2,2022-09-26 00:00:00
12103,Pinellas,Florida,1,2022-09-26 00:00:00
12105,Polk,Florida,6,2022-09-26 00:00:00
12113,Santa Rosa,Florida,2,2022-09-26 00:00:00
12115,Sarasota,Florida,7,2022-09-26 00:00:00
12109,St. Johns,Florida,1,2022-09-26 00:00:00
12111,St. Lucie,Florida,66,2022-09-26 00:00:00
12121,Suwannee,Florida,4,2022-09-26 00:00:00
12127,Volusia,Florida,19,2022-09-26 00:00:00
12007,Bradford,Florida,1,2022-09-26 00:15:00
12009,Brevard,Florida,2,2022-09-26 00:15:00
12011,Broward,Florida,89,2022-09-26 00:15:00
12015,Charlotte,Florida,26,2022-09-26 00:15:00
12017,Citrus,Florida,1,2022-09-26 00:15:00
12021,Collier,Florida,95,2022-09-26 00:15:00
12029,Dixie,Florida,25,2022-09-26 00:15:00
12031,Duval,Florida,54,2022-09-26 00:15:00
12033,Escambia,Florida,4,2022-09-26 00:15:00
12045,Gulf,Florida,1,2022-09-26 00:15:00
12049,Hardee,Florida,0,2022-09-26 00:15:00
12055,Highlands,Florida,1,2022-09-26 00:15:00
12057,Hillsborough,Florida,0,2022-09-26 00:15:00
12061,Indian River,Florida,3,2022-09-26 00:15:00
12063,Jackson,Florida,4,2022-09-26 00:15:00
12071,Lee,Florida,554,2022-09-26 00:15:00
12073,Leon,Florida,2,2022-09-26 00:15:00
12081,Manatee,Florida,0,2022-09-26 00:15:00
12083,Marion,Florida,7,2022-09-26 00:15:00
12085,Martin,Florida,4,2022-09-26 00:15:00
12086,Miami-Dade,Florida,275,2022-09-26 00:15:00
12095,Orange,Florida,29,2022-09-26 00:15:00
12099,Palm Beach,Florida,156,2022-09-26 00:15:00
12101,Pasco,Florida,1,2022-09-26 00:15:00
12103,Pinellas,Florida,1,2022-09-26 00:15:00
12105,Polk,Florida,0,2022-09-26 00:15:00
12113,Santa Rosa,Florida,2,2022-09-26 00:15:00
12115,Sarasota,Florida,6,2022-09-26 00:15:00
12109,St. Johns,Florida,1,2022-09-26 00:15:00
12111,St. Lucie,Florida,66,2022-09-26 00:15:00
12121,Suwannee,Florida,3,2022-09-26 00:15:00
12127,Volusia,Florida,19,2022-09-26 00:15:00
12007,Bradford,Florida,1,2022-09-26 00:30:00
12009,Brevard,Florida,3,2022-09-26 00:30:00
12011,Broward,Florida,89,2022-09-26 00:30:00
12015,Charlotte,Florida,26,2022-09-26 00:30:00
12017,Citrus,Florida,1,2022-09-26 00:30:00
12021,Collier,Florida,111,2022-09-26 00:30:00
12029,Dixie,Florida,25,2022-09-26 00:30:00
