wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
MFL,2022-09-28 06:53,2022-09-28 07:16,2022-09-28 06:53,202209280730,TO,P,W,61,NEW,,295.77929473036755,2022-09-28 06:53,,,,,False,2022-09-28 06:53,2022-09-28 07:00,,0.75,RADAR INDICATED,,202209280653-KMFL-WFUS52-TORMFL,GR,2022
MFL,2022-09-27 21:45,2022-09-27 22:15,2022-09-27 21:45,202209272215,TO,P,W,25,NEW,,272.1911638783313,2022-09-27 21:45,,,,,False,2022-09-27 21:45,2022-09-27 22:07,,0.0,OBSERVED,,202209272145-KMFL-WFUS52-TORMFL,MFL,2022
SGX,2022-09-25 19:44,2022-09-25 22:00,2022-09-25 19:44,202209252200,FA,P,Y,102,NEW,,82.84088918854555,2022-09-25 19:44,00000,N,ER,OO,False,2022-09-25 19:44,2022-09-25 22:00,,,,,202209251944-KSGX-WGUS86-FLSSGX,Schenk,2022
MFL,2022-09-27 23:04,2022-09-27 23:30,2022-09-27 23:04,202209272330,TO,P,W,30,NEW,,523.6390290889257,2022-09-27 23:04,,,,,False,2022-09-27 23:04,2022-09-27 23:15,,0.0,RADAR INDICATED,,202209272304-KMFL-WFUS52-TORMFL,NC,2022
MFL,2022-09-27 07:41,2022-09-27 08:30,2022-09-27 07:41,202209270830,MA,P,W,342,NEW,,395.65533074932335,2022-09-27 07:41,,,,,False,2022-09-27 07:41,2022-09-27 08:30,34.0,0.0,,,202209270741-KMFL-WHUS52-SMWMFL,ATV,2022
MFL,2022-09-28 03:35,2022-09-28 04:00,2022-09-28 03:35,202209280400,TO,P,W,52,NEW,,376.4063412810223,2022-09-28 03:35,,,,,False,2022-09-28 03:35,2022-09-28 03:49,,0.0,RADAR INDICATED,,202209280335-KMFL-WFUS52-TORMFL,NC,2022
MLB,2022-09-28 18:53,2022-09-28 19:13,2022-09-28 18:53,202209281930,TO,P,W,25,NEW,,274.77633357317666,2022-09-28 18:53,,,,,False,2022-09-28 18:53,2022-09-28 19:13,,0.75,RADAR INDICATED,,202209281853-KMLB-WFUS52-TORMLB,Schaper,2022
MFL,2022-09-28 01:14,2022-09-28 01:45,2022-09-28 01:14,202209280145,TO,P,W,41,NEW,,282.80367663677845,2022-09-28 01:14,,,,,False,2022-09-28 01:14,2022-09-28 01:24,,0.0,RADAR INDICATED,,202209280114-KMFL-WFUS52-TORMFL,NC,2022
SHV,2022-09-25 21:12,2022-09-25 22:00,2022-09-25 21:12,202209252200,SV,P,W,217,NEW,,791.6640744739927,2022-09-25 21:12,,,,,False,2022-09-25 21:12,2022-09-25 22:00,60.0,0.88,,,202209252112-KSHV-WUUS54-SVRSHV,26,2022
LIX,2022-09-26 22:57,2022-09-26 23:45,2022-09-26 22:57,202209262345,MA,P,W,419,NEW,,2207.516931608032,2022-09-26 22:57,,,,,False,2022-09-26 22:57,2022-09-26 23:45,34.0,0.0,,,202209262257-KLIX-WHUS54-SMWLIX,Frye,2022
MEG,2022-09-25 01:06,2022-09-25 01:26,2022-09-25 01:06,202209250145,TO,P,W,49,NEW,,1418.2043553335213,2022-09-25 01:06,,,,,False,2022-09-25 01:06,2022-09-25 01:26,,1.25,RADAR INDICATED,,202209250106-KMEG-WFUS54-TORMEG,,2022
PAH,2022-09-24 22:50,2022-09-24 23:15,2022-09-24 22:50,202209242315,SV,P,W,219,NEW,,784.7563844132246,2022-09-24 22:50,,,,,False,2022-09-24 22:50,2022-09-24 23:03,60.0,1.0,,,202209242250-KPAH-WUUS53-SVRPAH,DW,2022
PSR,2022-09-24 00:45,2022-09-24 01:30,2022-09-24 00:45,202209240130,SV,P,W,239,NEW,,702.4421990488049,2022-09-24 00:45,,,,,False,2022-09-24 00:45,2022-09-24 00:59,60.0,0.75,,,202209240045-KPSR-WUUS55-SVRPSR,GL,2022
KEY,2022-09-27 06:02,2022-09-27 06:16,2022-09-27 06:02,202209270630,MA,P,W,395,NEW,,657.7345125717658,2022-09-27 06:02,,,,,False,2022-09-27 06:02,2022-09-27 06:16,34.0,0.0,,,202209270602-KKEY-WHUS52-SMWKEY,JAM,2022
PHI,2022-09-25 19:25,2022-09-25 19:59,2022-09-25 19:25,202209252015,SV,P,W,168,NEW,,3101.2995356057163,2022-09-25 19:25,,,,,False,2022-09-25 19:25,2022-09-25 19:42,60.0,0.75,,,202209251925-KPHI-WUUS51-SVRPHI,Fitzsimmons,2022
KEY,2022-09-26 18:19,2022-09-26 18:43,2022-09-26 18:19,202209261915,MA,P,W,388,NEW,,1019.24050288333,2022-09-26 18:19,,,,,False,2022-09-26 18:19,2022-09-26 18:43,34.0,0.0,,,202209261819-KKEY-WHUS52-SMWKEY,TW,2022
KEY,2022-09-27 08:59,2022-09-27 09:30,2022-09-27 08:59,202209270930,MA,P,W,400,NEW,,562.5087299804122,2022-09-27 08:59,,,,,False,2022-09-27 08:59,2022-09-27 09:32,34.0,0.0,,,202209270859-KKEY-WHUS52-SMWKEY,JAM,2022
MLB,2022-09-29 14:45,2022-10-20 14:45,2022-09-29 14:45,202210201445,FL,P,W,8,NEW,,226.32139355328448,2022-09-29 14:45,SNFF1,1,ER,NO,False,2022-09-29 14:45,2022-09-29 20:17,,,,,202209291445-KMLB-WGUS42-FLWMLB,,2022
MLB,2022-09-29 18:00,2022-10-20 03:16,2022-09-29 18:00,202210200316,FL,P,W,3,NEW,,355.46003437708566,2022-09-29 03:16,GENF1,3,ER,NR,False,2022-09-29 18:00,2022-09-29 08:39,,,,,202209290316-KMLB-WGUS42-FLWMLB,CL,2022
MFL,2022-09-27 20:11,2022-09-27 20:45,2022-09-27 20:11,202209272045,MA,P,W,351,NEW,,337.8362574764655,2022-09-27 20:11,,,,,False,2022-09-27 20:11,2022-09-27 20:45,34.0,0.0,,,202209272011-KMFL-WHUS52-SMWMFL,MFL,2022
KEY,2022-09-27 08:13,2022-09-27 08:45,2022-09-27 08:13,202209270845,MA,P,W,399,NEW,,569.6948668418711,2022-09-27 08:13,,,,,False,2022-09-27 08:13,2022-09-27 08:41,34.0,0.0,,,202209270813-KKEY-WHUS52-SMWKEY,JAM,2022
MFL,2022-09-28 05:18,2022-09-28 05:45,2022-09-28 05:18,202209280545,TO,P,W,58,NEW,,748.1840319719347,2022-09-28 05:18,,,,,False,2022-09-28 05:18,2022-09-28 05:45,,0.0,RADAR INDICATED,,202209280518-KMFL-WFUS52-TORMFL,SB,2022
MFL,2022-09-28 04:56,2022-09-28 05:18,2022-09-28 04:56,202209280530,TO,P,W,56,NEW,,757.0582077068374,2022-09-28 04:56,,,,,False,2022-09-28 04:56,2022-09-28 05:18,,0.75,RADAR INDICATED,,202209280456-KMFL-WFUS52-TORMFL,GR,2022
MLB,2022-09-29 18:00,2022-10-20 08:20,2022-09-29 18:00,202210200820,FL,P,W,7,NEW,,181.1278595333743,2022-09-29 08:20,DLAF1,3,ER,NO,False,2022-09-29 18:00,2022-09-29 14:32,,,,,202209290820-KMLB-WGUS42-FLWMLB,JS,2022
MFL,2022-09-28 01:36,2022-09-28 02:00,2022-09-28 01:36,202209280200,MA,P,W,354,NEW,,165.80192870437344,2022-09-28 01:36,,,,,False,2022-09-28 01:36,2022-09-28 02:00,34.0,0.0,,,202209280136-KMFL-WHUS52-SMWMFL,GR,2022
MFL,2022-09-28 09:46,2022-09-28 10:15,2022-09-28 09:46,202209281015,MA,P,W,356,NEW,,387.3222438124835,2022-09-28 09:46,,,,,False,2022-09-28 09:46,2022-09-28 10:15,34.0,0.0,,,202209280946-KMFL-WHUS52-SMWMFL,GR,2022
MFL,2022-09-28 01:57,2022-09-28 02:30,2022-09-28 01:57,202209280230,TO,P,W,47,NEW,,375.2497965163538,2022-09-28 01:57,,,,,False,2022-09-28 01:57,2022-09-28 02:15,,0.0,RADAR INDICATED,,202209280157-KMFL-WFUS52-TORMFL,ATV,2022
MFL,2022-09-28 00:28,2022-09-28 01:00,2022-09-28 00:28,202209280100,TO,P,W,37,NEW,,381.60036068179465,2022-09-28 00:28,,,,,False,2022-09-28 00:28,2022-09-28 00:34,,0.0,RADAR INDICATED,,202209280028-KMFL-WFUS52-TORMFL,ATV,2022
MLB,2022-09-28 18:32,2022-09-28 19:00,2022-09-28 18:32,202209281900,TO,P,W,24,NEW,,494.6271097767483,2022-09-28 18:32,,,,,False,2022-09-28 18:32,2022-09-28 18:48,,0.75,RADAR INDICATED,,202209281832-KMLB-WFUS52-TORMLB,Schaper,2022
LMK,2022-09-25 07:09,2022-09-25 07:45,2022-09-25 07:09,202209250745,SV,P,W,244,NEW,,467.23197693001146,2022-09-25 07:09,,,,,False,2022-09-25 07:09,2022-09-25 07:43,60.0,1.0,,,202209250709-KLMK-WUUS53-SVRLMK,EBW,2022
MFL,2022-09-27 21:19,2022-09-27 21:45,2022-09-27 21:19,202209272145,TO,P,W,24,NEW,,357.06408907344644,2022-09-27 21:19,,,,,False,2022-09-27 21:19,2022-09-27 21:45,,0.0,OBSERVED,,202209272119-KMFL-WFUS52-TORMFL,MFL,2022
