fips_code,county,state,customers_out,run_start_time
48027,Bell,Texas,4,2021-02-10 00:00:00
48029,Bexar,Texas,8,2021-02-10 00:00:00
48039,Brazoria,Texas,89,2021-02-10 00:00:00
48053,Burnet,Texas,1,2021-02-10 00:00:00
48077,Clay,Texas,2,2021-02-10 00:00:00
48085,Collin,Texas,2,2021-02-10 00:00:00
48089,Colorado,Texas,5,2021-02-10 00:00:00
48095,Concho,Texas,4,2021-02-10 00:00:00
48113,Dallas,Texas,185,2021-02-10 00:00:00
48119,Delta,Texas,6,2021-02-10 00:00:00
48121,Denton,Texas,1,2021-02-10 00:00:00
48135,Ector,Texas,1,2021-02-10 00:00:00
48139,Ellis,Texas,1,2021-02-10 00:00:00
48157,Fort Bend,Texas,1,2021-02-10 00:00:00
48159,Franklin,Texas,4,2021-02-10 00:00:00
48167,Galveston,Texas,4,2021-02-10 00:00:00
48179,Gray,Texas,2,2021-02-10 00:00:00
48187,Guadalupe,Texas,5,2021-02-10 00:00:00
48189,Hale,Texas,2,2021-02-10 00:00:00
48201,Harris,Texas,1347,2021-02-10 00:00:00
48215,Hidalgo,Texas,19,2021-02-10 00:00:00
48235,Irion,Texas,1,2021-02-10 00:00:00
48245,Jefferson,Texas,38,2021-02-10 00:00:00
48249,Jim Wells,Texas,4,2021-02-10 00:00:00
48261,Kenedy,Texas,1,2021-02-10 00:00:00
48307,McCulloch,Texas,4,2021-02-10 00:00:00
48309,McLennan,Texas,1,2021-02-10 00:00:00
48329,Midland,Texas,2,2021-02-10 00:00:00
48337,Montague,Texas,1,2021-02-10 00:00:00
48339,Montgomery,Texas,2,2021-02-10 00:00:00
48341,Moore,Texas,1,2021-02-10 00:00:00
48355,Nueces,Texas,14,2021-02-10 00:00:00
48373,Polk,Texas,4,2021-02-10 00:00:00
48393,Roberts,Texas,54,2021-02-10 00:00:00
48397,Rockwall,Texas,1,2021-02-10 00:00:00
48399,Runnels,Texas,4,2021-02-10 00:00:00
48409,San Patricio,Texas,4,2021-02-10 00:00:00
48423,Smith,Texas,1,2021-02-10 00:00:00
48439,Tarrant,Texas,17,2021-02-10 00:00:00
48441,Taylor,Texas,4,2021-02-10 00:00:00
48451,Tom Green,Texas,7,2021-02-10 00:00:00
48453,Travis,Texas,122,2021-02-10 00:00:00
48465,Val Verde,Texas,6,2021-02-10 00:00:00
48467,Van Zandt,Texas,4,2021-02-10 00:00:00
48473,Waller,Texas,1,2021-02-10 00:00:00
48479,Webb,Texas,4,2021-02-10 00:00:00
48481,Wharton,Texas,1,2021-02-10 00:00:00
