state,vintage,total_customers,pct_covered
AK,2022-01-01,364614,0.71
AL,2022-01-01,2615212,0.81
AR,2022-01-01,1630606,0.86
AS,2022-01-01,12216,0
AZ,2022-01-01,3188212,0.91
CA,2022-01-01,15666677,0.95
CO,2022-01-01,2768968,0.84
CT,2022-01-01,1680077,0.96
DC,2022-01-01,317140,1
DE,2022-01-01,499849,0.86
FL,2022-01-01,10989517,0.98
GA,2022-01-01,5059196,0.91
GU,2022-01-01,51938,0
HI,2022-01-01,502534,1
IA,2022-01-01,1601073,0.91
ID,2022-01-01,904872,0.91
IL,2022-01-01,5906057,0.98
IN,2022-01-01,3228957,0.86
KS,2022-01-01,1980177,0.59
KY,2022-01-01,2316157,0.94
LA,2022-01-01,2400685,0.91
MA,2022-01-01,3243537,0.99
MD,2022-01-01,2635074,0.99
ME,2022-01-01,816054,0.96
MI,2022-01-01,4933959,0.96
MN,2022-01-01,2724798,0.8
MO,2022-01-01,3160891,0.95
MP,2022-01-01,15541,0
MS,2022-01-01,1546679,0.77
MT,2022-01-01,634592,0.76
NC,2022-01-01,5297545,0.92
ND,2022-01-01,463692,0.66
NE,2022-01-01,1034499,0.48
NH,2022-01-01,738754,0.99
NJ,2022-01-01,4136585,0.99
NM,2022-01-01,1045100,0.82
NV,2022-01-01,1390235,0.97
NY,2022-01-01,8309187,0.99
OH,2022-01-01,5603381,0.93
OK,2022-01-01,2047920,0.94
OR,2022-01-01,2045351,0.9
PA,2022-01-01,6111114,0.98
PR,2022-01-01,1477167,1
RI,2022-01-01,505947,0.99
SC,2022-01-01,2800722,0.99
SD,2022-01-01,475661,0.89
TN,2022-01-01,3433064,0.75
TX,2022-01-01,14691490,0.93
UT,2022-01-01,1252077,0.8
VA,2022-01-01,3941323,0.97
VI,2022-01-01,56133,1
VT,2022-01-01,376122,1
WA,2022-01-01,3532113,0.87
WI,2022-01-01,3068156,0.85
WV,2022-01-01,1010110,1
WY,2022-01-01,329909,0.71
