# HHS emPOWER public REST service (https://services2.arcgis.com/ZQ4jTQn6k7VPXEwO/arcgis/rest/services/HHS_emPOWER_REST_Service_Public/FeatureServer), data vintage 2026-09-21 (service dataLastEditDate), retrieved 2026-09-21; Medicare FFS+MA beneficiaries, de-identified, cells 1-10 masked to 11; layer 2 county
county_fips,state,county,medicare_benes,power_dependent_dme,esrd_dialysis_dme,o2_dme,home_health_dme,hospice_dme,any_healthcare_dme
01001,AL,Autauga,11948,585,55,118,109,55,337
01003,AL,Baldwin,66917,2337,132,369,447,212,1160
01005,AL,Barbour,5911,296,22,101,51,44,218
01007,AL,Bibb,4975,241,22,77,87,22,208
01009,AL,Blount,10020,536,33,89,118,59,299
01011,AL,Bullock,2541,80,22,22,33,11,88
01013,AL,Butler,4951,292,22,57,59,44,182
01015,AL,Calhoun,29480,1715,88,334,375,121,918
01017,AL,Chambers,9136,525,22,75,63,22,182
01019,AL,Cherokee,6955,363,33,97,69,33,232
01021,AL,Chilton,9253,487,44,82,104,66,296
01023,AL,Choctaw,3741,207,33,99,77,77,286
01025,AL,Clarke,6492,280,44,80,80,33,237
01027,AL,Clay,3674,218,11,73,44,33,161
01029,AL,Cleburne,3578,261,22,78,62,22,184
01031,AL,Coffee,11833,574,11,159,106,23,299
01033,AL,Colbert,14300,872,44,152,158,58,412
01035,AL,Conecuh,3446,184,33,53,40,33,159
01037,AL,Coosa,3174,156,11,56,55,22,144
01039,AL,Covington,10216,728,33,184,149,44,410
01041,AL,Crenshaw,3781,268,22,108,85,55,270
01043,AL,Cullman,21155,1289,77,389,233,104,803
01045,AL,Dale,11852,671,44,165,109,48,366
01047,AL,Dallas,10202,385,55,118,98,33,304
01049,AL,De Kalb,15796,899,66,186,216,132,600
01051,AL,Elmore,21182,957,99,197,136,66,498
01053,AL,Escambia,8965,469,33,114,100,33,280
01055,AL,Etowah,27244,1671,77,218,336,105,736
01057,AL,Fayette,4093,212,11,40,51,33,135
01059,AL,Franklin,7129,462,55,102,100,44,301
01061,AL,Geneva,7273,373,44,113,81,44,282
01063,AL,Greene,2258,75,22,22,44,11,99
01065,AL,Hale,4396,161,33,55,55,22,165
01067,AL,Henry,5286,274,33,77,58,33,201
01069,AL,Houston,25832,1349,94,363,232,112,801
01071,AL,Jackson,14849,845,66,248,236,121,671
01073,AL,Jefferson,145315,5477,432,908,1132,440,2912
01075,AL,Lamar,3991,212,22,66,77,22,187
01077,AL,Lauderdale,23813,1276,44,291,246,94,675
01079,AL,Lawrence,6417,446,44,137,100,44,325
01081,AL,Lee,29840,1397,89,199,182,66,536
01083,AL,Limestone,21987,1114,77,284,187,84,632
01085,AL,Lowndes,2935,115,22,44,55,44,165
01087,AL,Macon,4501,238,22,55,53,44,174
01089,AL,Madison,80975,2981,174,742,509,211,1636
01091,AL,Marengo,5231,241,55,82,82,55,274
01093,AL,Marion,6919,398,33,101,102,33,269
01095,AL,Marshall,22933,1343,88,167,249,90,594
01097,AL,Mobile,90517,4456,311,761,727,323,2122
01099,AL,Monroe,5065,250,66,100,76,22,264
01101,AL,Montgomery,46508,1770,153,361,288,132,934
01103,AL,Morgan,29007,1663,90,507,288,115,1000
01105,AL,Perry,2283,94,11,26,22,11,70
01107,AL,Pickens,5068,211,44,56,59,33,192
01109,AL,Pike,7274,411,55,60,88,33,236
01111,AL,Randolph,6306,452,33,112,74,44,263
01113,AL,Russell,12256,579,56,198,109,55,418
01115,AL,Saint Clair,19954,1011,110,146,175,99,530
01117,AL,Shelby,43396,1489,99,229,269,147,744
01119,AL,Sumter,3052,140,33,67,44,44,188
01121,AL,Talladega,20038,1174,77,186,192,96,551
01123,AL,Tallapoosa,11052,587,33,136,87,33,289
01125,AL,Tuscaloosa,36127,1437,79,180,348,132,739
01127,AL,Walker,17013,911,55,185,203,121,564
01129,AL,Washington,4348,227,33,110,121,44,308
01131,AL,Wilcox,3370,116,22,56,55,22,155
01133,AL,Winston,6632,437,33,115,106,67,321
02013,AK,Aleutians East,171,22,0,0,0,0,0
02016,AK,Aleutians West,258,33,0,0,11,0,11
02020,AK,Anchorage,47209,1217,77,132,158,66,433
02050,AK,Bethel,1747,154,11,0,11,0,22
02060,AK,Bristol Bay,169,22,0,0,0,0,0
02068,AK,Denali,352,44,0,0,0,0,0
02070,AK,Dillingham,581,55,0,0,11,11,22
02090,AK,Fairbanks North Star,13896,389,22,44,44,33,143
02100,AK,Haines,731,11,0,0,0,0,0
02105,AK,Hoonah Angoon,605,55,0,0,0,0,0
02110,AK,Juneau,6088,94,11,22,11,0,44
02122,AK,Kenai Peninsula,14986,446,44,55,66,11,176
02130,AK,Ketchikan Gateway,2829,77,0,0,11,0,11
02150,AK,Kodiak Island,2073,63,0,11,11,0,22
02164,AK,Lake And Peninsula,213,33,0,11,0,0,11
02170,AK,Matanuska Susitna,19835,590,33,66,98,22,219
02180,AK,Nome,994,66,0,0,33,0,33
02185,AK,North Slope,579,44,0,0,0,0,0
02188,AK,Northwest Arctic,656,77,0,0,0,0,0
02195,AK,Petersburg,976,35,0,11,11,0,22
02198,AK,Prince Of Wales Hyder,1185,44,0,11,0,0,11
02220,AK,Sitka,1752,33,0,11,0,0,11
02230,AK,Skagway,198,11,0,0,0,0,0
02240,AK,Southeast Fairbanks,1513,40,0,0,0,0,0
02261,AK,Valdez Cordova,1852,62,0,11,11,0,22
02270,AK,Wade Hampton,666,33,0,0,0,0,0
02275,AK,Wrangell,638,15,0,0,0,0,0
02282,AK,Yakutat,138,11,0,0,0,0,0
02290,AK,Yukon Koyukuk,1034,99,0,0,11,0,11
04001,AZ,Apache,15130,1162,121,469,99,66,755
04003,AZ,Cochise,38265,2059,78,768,167,132,1145
04005,AZ,Coconino,23451,1909,121,682,199,88,1090
04007,AZ,Gila,18567,1208,66,369,114,75,624
04009,AZ,Graham,6256,384,33,202,50,44,329
04011,AZ,Greenlee,1314,99,11,47,11,0,69
04012,AZ,La Paz,6509,250,22,98,55,55,230
04013,AZ,Maricopa,811812,28673,1209,6399,2475,1235,11318
04015,AZ,Mohave,77886,3857,158,1554,297,159,2168
04017,AZ,Navajo,28740,2733,154,789,146,144,1233
04019,AZ,Pima,266124,9751,443,2907,946,401,4697
04021,AZ,Pinal,99018,3733,198,912,361,187,1658
04023,AZ,Santa Cruz,12325,383,33,166,33,22,254
04025,AZ,Yavapai,96526,6752,165,1498,469,223,2355
04027,AZ,Yuma,46395,1514,70,283,164,55,572
05001,AR,Arkansas,3968,289,11,131,80,22,244
05003,AR,Ashley,5158,377,44,141,118,33,336
05005,AR,Baxter,15385,1150,22,304,196,36,558
05007,AR,Benton,49099,2557,121,568,271,143,1103
05009,AR,Boone,11251,821,22,241,89,22,374
05011,AR,Bradley,2464,201,11,55,49,22,137
05013,AR,Calhoun,1010,105,11,22,22,0,55
05015,AR,Carroll,7656,503,33,136,60,33,262
05017,AR,Chicot,2722,161,22,40,33,22,117
05019,AR,Clark,5249,339,33,77,60,22,192
05021,AR,Clay,3783,356,44,146,56,11,257
05023,AR,Cleburne,8631,586,33,166,108,66,373
05025,AR,Cleveland,1911,156,22,56,33,33,144
05027,AR,Columbia,5545,357,33,105,65,22,225
05029,AR,Conway,5310,369,33,122,89,22,266
05031,AR,Craighead,17222,1382,61,502,209,66,838
05033,AR,Crawford,15187,1097,35,356,172,55,618
05035,AR,Crittenden,9586,550,53,196,99,46,394
05037,AR,Cross,3808,268,33,113,46,11,203
05039,AR,Dallas,1890,181,22,50,33,22,127
05041,AR,Desha,2904,184,44,68,44,33,189
05043,AR,Drew,3724,303,12,82,72,11,177
05045,AR,Faulkner,23552,1383,33,220,206,79,538
05047,AR,Franklin,4702,330,11,79,51,22,163
05049,AR,Fulton,3263,276,11,89,68,22,190
05051,AR,Garland,35911,2117,55,499,283,97,934
05053,AR,Grant,4018,282,11,95,72,33,211
05055,AR,Greene,9847,876,11,308,133,33,485
05057,AR,Hempstead,4266,330,22,143,104,55,324
05059,AR,Hot Spring,7667,597,11,203,94,44,352
05061,AR,Howard,3512,250,22,72,67,33,194
05063,AR,Independence,8703,967,33,279,185,54,551
05065,AR,Izard,4387,337,33,127,114,33,307
05067,AR,Jackson,3287,340,22,105,80,33,240
05069,AR,Jefferson,15870,1113,75,297,200,67,639
05071,AR,Johnson,5776,413,33,92,84,33,242
05073,AR,Lafayette,1664,138,22,49,44,33,148
05075,AR,Lawrence,4839,509,11,220,147,44,422
05077,AR,Lee,1749,135,11,44,23,11,89
05079,AR,Lincoln,2240,222,22,55,50,33,160
05081,AR,Little River,3172,274,22,74,67,33,196
05083,AR,Logan,6185,456,22,174,105,66,367
05085,AR,Lonoke,15889,1029,55,221,137,72,485
05087,AR,Madison,4260,371,22,121,55,11,209
05089,AR,Marion,5440,370,11,114,62,33,220
05091,AR,Miller,9357,696,11,157,98,22,288
05093,AR,Mississippi,8030,688,55,282,126,66,529
05095,AR,Monroe,1920,136,22,55,33,33,143
05097,AR,Montgomery,2474,138,11,77,33,22,143
05099,AR,Nevada,2191,203,33,66,41,22,162
05101,AR,Newton,2411,200,11,94,33,22,160
05103,AR,Ouachita,6249,471,55,102,74,44,275
05105,AR,Perry,2969,215,33,69,44,22,168
05107,AR,Phillips,4082,271,66,109,66,22,263
05109,AR,Pike,2702,227,11,63,56,55,185
05111,AR,Poinsett,5561,576,22,229,108,66,425
05113,AR,Polk,5605,386,33,144,79,22,278
05115,AR,Pope,14428,1096,44,166,155,80,445
05117,AR,Prairie,1927,179,33,71,55,11,170
05119,AR,Pulaski,84106,3875,205,794,496,220,1715
05121,AR,Randolph,4270,374,11,152,73,11,247
05123,AR,Saint Francis,5208,326,33,150,94,77,354
05125,AR,Saline,24994,1401,77,289,183,77,626
05127,AR,Scott,2848,228,11,89,39,33,172
05129,AR,Searcy,2705,191,11,69,38,22,140
05131,AR,Sebastian,27976,1747,99,558,242,110,1009
05133,AR,Sevier,3000,254,11,99,46,33,189
05135,AR,Sharp,6925,689,33,197,113,44,387
05137,AR,Stone,4256,402,11,134,79,22,246
05139,AR,Union,9536,790,33,145,130,33,341
05141,AR,Van Buren,5812,419,11,105,86,66,268
05143,AR,Washington,42481,2472,110,524,293,110,1037
05145,AR,White,18974,1435,66,423,228,92,809
05147,AR,Woodruff,1787,158,11,68,60,22,161
05149,AR,Yell,5020,403,22,114,95,44,275
06001,CA,Alameda,279703,9022,518,1783,2192,451,4944
06003,CA,Alpine,278,33,0,11,11,0,22
06005,CA,Amador,12506,495,55,164,115,66,400
06007,CA,Butte,48736,2566,100,620,328,44,1092
06009,CA,Calaveras,14416,584,44,238,151,66,499
06011,CA,Colusa,4319,196,44,81,71,33,229
06013,CA,Contra Costa,227361,7754,413,1468,1896,380,4157
06015,CA,Del Norte,6709,285,22,104,26,22,174
06017,CA,El Dorado,52447,2257,55,574,356,99,1084
06019,CA,Fresno,162703,7028,482,1684,1288,330,3784
06021,CA,Glenn,6051,336,22,83,66,22,193
06023,CA,Humboldt,31213,1207,77,360,79,55,571
06025,CA,Imperial,37022,1223,130,274,272,66,742
06027,CA,Inyo,5003,326,11,142,33,22,208
06029,CA,Kern,135722,7382,386,2006,1055,304,3751
06031,CA,Kings,19634,1043,101,267,143,33,544
06033,CA,Lake,17848,918,88,271,115,33,507
06035,CA,Lassen,5933,566,11,144,56,0,211
06037,CA,Los Angeles,1706527,55780,3493,13149,14369,2662,33673
06039,CA,Madera,27447,1095,77,243,175,66,561
06041,CA,Marin,64752,1552,88,248,324,154,814
06043,CA,Mariposa,4826,258,22,107,45,11,185
06045,CA,Mendocino,24221,975,55,307,108,44,514
06047,CA,Merced,42338,1615,159,421,276,99,955
06049,CA,Modoc,2421,227,11,66,11,0,88
06051,CA,Mono,1885,114,0,80,22,0,102
06053,CA,Monterey,73731,2040,195,547,406,143,1291
06055,CA,Napa,32369,1044,55,196,230,46,527
06057,CA,Nevada,30283,1071,55,177,133,44,409
06059,CA,Orange,606135,17662,949,3820,3799,894,9462
06061,CA,Placer,103653,3791,154,900,804,155,2013
06063,CA,Plumas,5783,393,11,199,77,11,298
06065,CA,Riverside,452845,19891,901,5445,2980,743,10069
06067,CA,Sacramento,295452,12678,558,2696,2838,506,6598
06069,CA,San Benito,11082,281,22,82,47,11,162
06071,CA,San Bernardino,352019,17323,893,5634,2892,672,10091
06073,CA,San Diego,624450,16884,857,2928,3018,851,7654
06075,CA,San Francisco,159072,3985,253,745,995,231,2224
06077,CA,San Joaquin,128738,4837,316,1198,881,254,2649
06079,CA,San Luis Obispo,74048,2047,132,498,398,132,1160
06081,CA,San Mateo,141516,3688,228,721,895,253,2097
06083,CA,Santa Barbara,86446,1666,110,330,333,132,905
06085,CA,Santa Clara,314113,8386,572,1630,1980,495,4677
06087,CA,Santa Cruz,62373,1519,118,272,300,88,778
06089,CA,Shasta,51166,2849,110,420,411,88,1029
06091,CA,Sierra,880,103,0,58,11,0,69
06093,CA,Siskiyou,14031,860,55,281,99,44,479
06095,CA,Solano,92600,3749,149,691,824,122,1786
06097,CA,Sonoma,122188,3729,165,758,684,187,1794
06099,CA,Stanislaus,97149,4105,235,1048,684,176,2143
06101,CA,Sutter,18587,998,55,223,174,44,496
06103,CA,Tehama,13087,788,55,114,98,22,289
06105,CA,Trinity,3633,228,11,99,33,0,143
06107,CA,Tulare,70741,3681,274,973,534,155,1936
06109,CA,Tuolumne,16277,873,44,397,118,66,625
06111,CA,Ventura,178017,5627,258,565,1173,242,2238
06113,CA,Yolo,37342,1292,66,305,318,66,755
06115,CA,Yuba,14177,857,23,218,183,33,457
08001,CO,Adams,74242,8694,192,2400,470,154,3216
08003,CO,Alamosa,3404,727,11,258,45,11,325
08005,CO,Arapahoe,105058,11156,222,2580,609,187,3598
08007,CO,Archuleta,4765,543,0,145,25,11,181
08009,CO,Baca,952,135,22,69,33,0,124
08011,CO,Bent,1086,133,11,36,22,11,80
08013,CO,Boulder,60978,4433,102,964,209,132,1407
08014,CO,Broomfield,14815,1306,22,303,84,22,431
08015,CO,Chaffee,6272,823,22,161,67,33,283
08017,CO,Cheyenne,401,46,0,33,0,0,33
08019,CO,Clear Creek,1297,193,11,67,33,11,122
08021,CO,Conejos,2066,417,11,152,58,0,221
08023,CO,Costilla,1364,265,22,86,33,11,152
08025,CO,Crowley,893,142,11,42,22,11,86
08027,CO,Custer,2153,295,11,59,11,0,81
08029,CO,Delta,10827,1406,44,404,68,66,582
08031,CO,Denver,92785,8977,304,2319,511,220,3354
08033,CO,Dolores,602,105,11,24,0,0,35
08035,CO,Douglas,66272,6645,99,1225,374,121,1819
08037,CO,Eagle,7907,713,11,119,33,11,174
08039,CO,Elbert,4765,573,11,152,29,22,214
08041,CO,El Paso,131551,17540,304,4718,933,323,6278
08043,CO,Fremont,13521,2316,44,544,126,44,758
08045,CO,Garfield,11693,1619,66,285,66,66,483
08047,CO,Gilpin,1213,169,0,53,22,11,86
08049,CO,Grand,3215,472,11,102,22,0,135
08051,CO,Gunnison,2815,374,0,112,44,0,156
08053,CO,Hinsdale,241,44,0,11,0,0,11
08055,CO,Huerfano,2659,430,11,125,22,22,180
