# HHS emPOWER public REST service (https://services2.arcgis.com/ZQ4jTQn6k7VPXEwO/arcgis/rest/services/HHS_emPOWER_REST_Service_Public/FeatureServer), data vintage 2026-09-21 (service dataLastEditDate), retrieved 2026-09-21; Medicare FFS+MA beneficiaries, de-identified, cells 1-10 masked to 11; layer 1 ZIP
zip,county_fips,state,medicare_benes,power_dependent_dme,esrd_dialysis_dme,o2_dme,home_health_dme,hospice_dme,any_healthcare_dme
00601,72001,PR,4523,232,11,30,26,11,78
00602,72003,PR,9644,410,15,29,52,23,119
00603,72005,PR,11905,575,19,41,56,11,127
00606,72093,PR,1195,50,11,11,11,11,44
00610,72011,PR,6504,360,11,33,32,11,87
00612,72013,PR,16448,791,17,44,48,18,127
00616,72013,PR,2475,147,11,11,11,11,44
00617,72017,PR,5573,310,14,22,14,11,61
00622,72023,PR,2440,122,11,11,13,11,46
00623,72023,PR,8210,475,11,48,64,20,143
00624,72111,PR,4948,345,18,33,30,11,92
00627,72027,PR,7906,422,11,14,28,11,64
00637,72121,PR,5941,291,19,23,38,11,91
00638,72039,PR,4892,249,11,25,19,11,66
00641,72141,PR,6869,299,11,11,30,11,63
00646,72051,PR,7400,426,11,33,53,11,108
00647,72055,PR,1068,54,0,11,11,11,33
00650,72054,PR,3945,205,11,23,22,11,67
00652,72013,PR,1166,63,11,11,11,0,33
00653,72055,PR,2691,151,11,17,21,11,60
00656,72059,PR,4529,262,11,27,28,11,77
00659,72065,PR,8204,385,13,25,26,11,75
00660,72067,PR,4496,259,11,21,41,14,87
00662,72071,PR,10047,597,16,18,44,18,96
00664,72073,PR,3466,165,11,23,22,11,67
00667,72079,PR,5581,301,13,21,38,11,83
00669,72081,PR,6759,338,11,23,23,11,68
00670,72083,PR,2146,129,11,12,11,11,45
00674,72091,PR,9830,584,13,49,52,13,127
00676,72099,PR,8661,505,22,35,42,20,119
00677,72117,PR,3830,224,11,22,36,11,80
00678,72115,PR,6482,290,11,11,21,11,54
00680,72097,PR,13518,740,27,70,82,16,195
00682,72097,PR,5459,345,11,38,43,11,103
00683,72125,PR,7505,437,16,36,65,11,128
00685,72131,PR,10892,625,17,40,62,21,140
00687,72101,PR,6688,329,12,33,29,11,85
00688,72013,PR,2951,163,11,11,17,11,50
00690,72005,PR,1452,80,11,11,11,11,44
00692,72143,PR,7519,392,11,34,54,11,110
