ugc_zone,county_fips,county_name,state
AKZ317,02282,Yakutat,AK
AKZ318,02230,Skagway,AK
AKZ319,02100,Haines,AK
AKZ320,02105,Hoonah-Angoon,AK
AKZ321,02105,Hoonah-Angoon,AK
AKZ322,02105,Hoonah-Angoon,AK
AKZ323,02220,Sitka,AK
AKZ324,02105,Hoonah-Angoon,AK
AKZ325,02110,Juneau,AK
AKZ326,02195,Petersburg Borough,AK
AKZ327,02198,Prince of Wales-Hyder,AK
AKZ328,02198,Prince of Wales-Hyder,AK
AKZ329,02275,Wrangell,AK
AKZ330,02130,Ketchikan,AK
AKZ331,02198,Prince of Wales-Hyder,AK
AKZ332,02198,Prince of Wales-Hyder,AK
AKZ701,02020,Anchorage Municipality,AK
AKZ702,02020,Anchorage Municipality,AK
AKZ703,02020,Anchorage Municipality,AK
AKZ704,02020,Anchorage Municipality,AK
AKZ711,02170,Matanuska-Susitna Borough,AK
AKZ712,02170,Matanuska-Susitna Borough,AK
AKZ713,02170,Matanuska-Susitna Borough,AK
AKZ714,02170,Matanuska-Susitna Borough,AK
AKZ721,02122,Kenai Peninsula Borough,AK
AKZ722,02122,Kenai Peninsula Borough,AK
AKZ723,02122,Kenai Peninsula Borough,AK
AKZ724,02122,Kenai Peninsula Borough,AK
AKZ725,02122,Kenai Peninsula Borough,AK
AKZ726,02122,Kenai Peninsula Borough,AK
AKZ727,02122,Kenai Peninsula Borough,AK
AKZ728,02063,Chugach Census Area,AK
AKZ729,02122,Kenai Peninsula Borough,AK
AKZ731,02063,Chugach Census Area,AK
AKZ732,02063,Chugach Census Area,AK
AKZ735,02063,Chugach Census Area,AK
AKZ741,02066,Copper River Census Area,AK
AKZ742,02066,Copper River Census Area,AK
AKZ743,02066,Copper River Census Area,AK
AKZ744,02066,Copper River Census Area,AK
AKZ745,02170,Matanuska-Susitna Borough,AK
AKZ746,02170,Matanuska-Susitna Borough,AK
AKZ747,02170,Matanuska-Susitna Borough,AK
AKZ748,02170,Matanuska-Susitna Borough,AK
AKZ749,02066,Copper River Census Area,AK
AKZ750,02066,Copper River Census Area,AK
AKZ751,02066,Copper River Census Area,AK
AKZ752,02050,Bethel Census Area,AK
AKZ753,02050,Bethel Census Area,AK
AKZ754,02050,Bethel Census Area,AK
AKZ755,02050,Bethel Census Area,AK
AKZ756,02050,Bethel Census Area,AK
AKZ757,02050,Bethel Census Area,AK
AKZ761,02164,Lake and Peninsula Borough,AK
AKZ762,02164,Lake and Peninsula Borough,AK
AKZ763,02060,Bristol Bay Borough,AK
AKZ764,02070,Dillingham Census Area,AK
AKZ765,02070,Dillingham Census Area,AK
AKZ766,02164,Lake and Peninsula Borough,AK
AKZ771,02150,Kodiak Island Borough,AK
AKZ772,02150,Kodiak Island Borough,AK
AKZ773,02164,Lake and Peninsula Borough,AK
AKZ781,02013,Aleutians East Borough,AK
AKZ785,02016,Aleutians West Census Area,AK
AKZ787,02016,Aleutians West Census Area,AK
AKZ791,02016,Aleutians West Census Area,AK
AKZ795,02016,Aleutians West Census Area,AK
AKZ801,02185,North Slope,AK
AKZ802,02185,North Slope,AK
AKZ803,02185,North Slope,AK
AKZ804,02185,North Slope,AK
AKZ805,02185,North Slope,AK
AKZ806,02185,North Slope,AK
AKZ807,02185,North Slope,AK
AKZ808,02185,North Slope,AK
AKZ809,02185,North Slope,AK
AKZ810,02185,North Slope,AK
AKZ811,02290,Yukon-Koyukuk,AK
AKZ812,02290,Yukon-Koyukuk,AK
AKZ813,02188,Northwest Arctic,AK
AKZ814,02188,Northwest Arctic,AK
AKZ815,02188,Northwest Arctic,AK
AKZ816,02188,Northwest Arctic,AK
AKZ817,02188,Northwest Arctic,AK
AKZ818,02188,Northwest Arctic,AK
AKZ819,02188,Northwest Arctic,AK
AKZ820,02180,Nome,AK
AKZ821,02180,Nome,AK
AKZ822,02180,Nome,AK
AKZ823,02180,Nome,AK
AKZ824,02180,Nome,AK
AKZ825,02158,Kusilvak,AK
AKZ826,02158,Kusilvak,AK
AKZ827,02180,Nome,AK
AKZ828,02290,Yukon-Koyukuk,AK
AKZ829,02290,Yukon-Koyukuk,AK
AKZ830,02290,Yukon-Koyukuk,AK
AKZ831,02290,Yukon-Koyukuk,AK
AKZ832,02290,Yukon-Koyukuk,AK
AKZ833,02290,Yukon-Koyukuk,AK
AKZ834,02290,Yukon-Koyukuk,AK
AKZ835,02240,Southeast Fairbanks,AK
AKZ836,02240,Southeast Fairbanks,AK
AKZ837,02240,Southeast Fairbanks,AK
AKZ838,02090,Fairbanks North Star,AK
AKZ839,02090,Fairbanks North Star,AK
AKZ840,02090,Fairbanks North Star,AK
AKZ841,02090,Fairbanks North Star,AK
AKZ842,02090,Fairbanks North Star,AK
AKZ843,02090,Fairbanks North Star,AK
AKZ844,02090,Fairbanks North Star,AK
AKZ845,02290,Yukon-Koyukuk,AK
AKZ846,02290,Yukon-Koyukuk,AK
AKZ847,02068,Denali,AK
AKZ848,02068,Denali,AK
AKZ849,02240,Southeast Fairbanks,AK
AKZ850,02240,Southeast Fairbanks,AK
AKZ851,02290,Yukon-Koyukuk,AK
AKZ852,02290,Yukon-Koyukuk,AK
ALZ001,01077,Lauderdale,AL
ALZ002,01033,Colbert,AL
ALZ003,01059,Franklin,AL
ALZ004,01079,Lawrence,AL
ALZ005,01083,Limestone,AL
ALZ006,01089,Madison,AL
ALZ007,01103,Morgan,AL
ALZ008,01095,Marshall,AL
ALZ009,01071,Jackson,AL
ALZ010,01049,DeKalb,AL
ALZ011,01093,Marion,AL
ALZ012,01075,Lamar,AL
ALZ013,01057,Fayette,AL
ALZ014,01133,Winston,AL
ALZ015,01127,Walker,AL
ALZ016,01043,Cullman,AL
ALZ017,01009,Blount,AL
ALZ018,01055,Etowah,AL
ALZ019,01015,Calhoun,AL
ALZ020,01019,Cherokee,AL
ALZ021,01029,Cleburne,AL
ALZ022,01107,Pickens,AL
ALZ023,01125,Tuscaloosa,AL
ALZ024,01073,Jefferson,AL
ALZ025,01117,Shelby,AL
ALZ026,01115,St. Clair,AL
ALZ027,01121,Talladega,AL
ALZ028,01027,Clay,AL
ALZ029,01111,Randolph,AL
ALZ030,01119,Sumter,AL
ALZ031,01063,Greene,AL
ALZ032,01065,Hale,AL
ALZ033,01105,Perry,AL
ALZ034,01007,Bibb,AL
ALZ035,01021,Chilton,AL
ALZ036,01037,Coosa,AL
ALZ037,01123,Tallapoosa,AL
ALZ038,01017,Chambers,AL
ALZ039,01091,Marengo,AL
ALZ040,01047,Dallas,AL
ALZ041,01001,Autauga,AL
ALZ042,01085,Lowndes,AL
ALZ043,01051,Elmore,AL
ALZ044,01101,Montgomery,AL
ALZ045,01087,Macon,AL
ALZ046,01011,Bullock,AL
ALZ047,01081,Lee,AL
ALZ048,01113,Russell,AL
ALZ049,01109,Pike,AL
ALZ050,01005,Barbour,AL
ALZ051,01023,Choctaw,AL
ALZ052,01129,Washington,AL
ALZ053,01025,Clarke,AL
ALZ054,01131,Wilcox,AL
ALZ055,01099,Monroe,AL
ALZ056,01035,Conecuh,AL
ALZ057,01013,Butler,AL
ALZ058,01041,Crenshaw,AL
ALZ059,01053,Escambia,AL
ALZ060,01039,Covington,AL
ALZ065,01031,Coffee,AL
ALZ066,01045,Dale,AL
ALZ067,01067,Henry,AL
ALZ068,01061,Geneva,AL
ALZ069,01069,Houston,AL
ALZ261,01097,Mobile,AL
ALZ262,01003,Baldwin,AL
ALZ263,01097,Mobile,AL
ALZ264,01003,Baldwin,AL
ALZ265,01097,Mobile,AL
ALZ266,01003,Baldwin,AL
ARZ001,05007,Benton,AR
ARZ002,05015,Carroll,AR
ARZ004,05089,Marion,AR
ARZ005,05005,Baxter,AR
ARZ006,05049,Fulton,AR
ARZ007,05135,Sharp,AR
ARZ008,05121,Randolph,AR
ARZ009,05021,Clay,AR
ARZ010,05143,Washington,AR
ARZ011,05087,Madison,AR
ARZ014,05137,Stone,AR
ARZ015,05065,Izard,AR
ARZ016,05063,Independence,AR
ARZ017,05075,Lawrence,AR
ARZ018,05055,Greene,AR
ARZ024,05023,Cleburne,AR
ARZ025,05067,Jackson,AR
ARZ026,05031,Craighead,AR
ARZ027,05111,Poinsett,AR
ARZ028,05093,Mississippi,AR
ARZ031,05029,Conway,AR
ARZ032,05045,Faulkner,AR
ARZ033,05145,White,AR
ARZ034,05147,Woodruff,AR
ARZ035,05037,Cross,AR
ARZ036,05035,Crittenden,AR
ARZ039,05105,Perry,AR
ARZ042,05051,Garland,AR
ARZ043,05125,Saline,AR
ARZ044,05119,Pulaski,AR
ARZ045,05085,Lonoke,AR
ARZ046,05117,Prairie,AR
ARZ047,05095,Monroe,AR
ARZ048,05123,St. Francis,AR
ARZ049,05077,Lee,AR
ARZ050,05133,Sevier,AR
ARZ051,05061,Howard,AR
ARZ052,05109,Pike,AR
ARZ053,05019,Clark,AR
ARZ054,05059,Hot Spring,AR
ARZ055,05053,Grant,AR
ARZ056,05069,Jefferson,AR
ARZ057,05001,Arkansas,AR
ARZ058,05107,Phillips,AR
ARZ059,05081,Little River,AR
ARZ060,05057,Hempstead,AR
ARZ061,05099,Nevada,AR
