county_fips,state,county,population,population_18plus,copd,casthma,chd,diabetes,depression,mhlth,bphigh,obesity,stroke,disability
01001,AL,Autauga,60342,46253,7.4,10.0,6.7,13.3,25.1,17.0,42.0,39.8,3.7,33.8
01003,AL,Baldwin,253507,200397,7.5,9.3,7.5,13.4,22.5,15.1,43.8,35.2,3.8,33.9
01005,AL,Barbour,24585,19517,11.1,10.8,9.5,19.6,22.1,18.5,50.2,46.8,5.8,44.4
01007,AL,Bibb,21868,17522,10.2,10.4,8.5,16.2,24.4,18.9,46.3,43.9,4.7,41.3
01009,AL,Blount,59816,46099,9.1,9.9,8.0,13.8,24.8,17.5,41.2,36.1,4.1,37.9
01011,AL,Bullock,9897,7878,13.0,11.5,10.7,24.6,21.1,20.1,56.6,51.3,7.3,49.7
01013,AL,Butler,18382,14276,10.3,10.9,9.1,18.9,22.5,18.3,51.0,40.4,5.5,42.1
01015,AL,Calhoun,116429,91555,8.9,10.6,7.7,14.8,24.6,18.4,44.8,38.6,4.2,39.0
01017,AL,Chambers,34079,26970,9.9,10.7,8.6,17.9,22.7,18.3,48.7,41.5,5.2,41.0
01019,AL,Cherokee,25666,20877,10.7,10.2,9.6,16.0,25.0,17.4,45.9,39.5,4.8,40.9
01021,AL,Chilton,46431,35269,8.8,10.0,7.6,14.1,24.5,18.2,43.1,40.0,4.0,39.2
01023,AL,Choctaw,12252,9839,11.1,10.9,10.0,20.1,23.3,17.8,52.7,44.4,6.0,44.3
01025,AL,Clarke,22337,17444,9.7,10.8,8.7,18.4,22.6,18.0,49.5,43.9,5.3,43.0
01027,AL,Clay,14111,11157,10.6,10.4,9.3,16.5,24.4,18.0,47.6,42.5,4.9,41.8
01029,AL,Cleburne,15639,12016,9.8,10.0,8.4,14.6,25.5,18.1,42.9,37.4,4.3,38.6
01031,AL,Coffee,55643,42235,8.6,10.2,7.6,14.8,24.3,17.7,43.5,41.0,4.2,38.1
01033,AL,Colbert,58361,45890,8.9,10.3,8.0,15.0,24.5,17.3,44.3,37.5,4.3,37.9
01035,AL,Conecuh,11174,8894,12.6,11.0,11.1,22.1,22.3,18.3,54.7,46.4,6.7,46.5
