year,state,total_customers,min_covered,max_covered,min_pct_covered,max_pct_covered
1/1/18,AK,340543,229424,229424,0.67,0.67
1/1/19,AK,340543,217506,229424,0.64,0.67
1/1/20,AK,328964,158477,224243,0.48,0.68
1/1/21,AK,331443,224243,226079,0.68,0.68
1/1/22,AK,364614,226079,258830,0.62,0.71
1/1/18,AL,2552741,556498,2029174,0.22,0.79
1/1/19,AL,2568720,1986498,2069044,0.77,0.81
1/1/20,AL,2568720,2019687,2081949,0.79,0.81
1/1/21,AL,2583447,2071943,2098555,0.8,0.81
1/1/22,AL,2615212,2096470,2123175,0.8,0.81
1/1/18,AR,1607633,1246719,1246719,0.78,0.78
1/1/19,AR,1607633,1212716,1328965,0.75,0.83
1/1/20,AR,1604621,1328965,1382706,0.83,0.86
1/1/21,AR,1614046,678908,1391980,0.42,0.86
1/1/22,AR,1630606,1352923,1408812,0.83,0.86
1/1/18,AS,12320,0,0,0,0
1/1/19,AS,12383,0,0,0,0
1/1/20,AS,12320,0,0,0,0
1/1/21,AS,12265,0,0,0,0
1/1/22,AS,12216,0,0,0,0
1/1/18,AZ,3093052,1449249,2700024,0.47,0.87
1/1/19,AZ,3131357,1277908,2700024,0.41,0.86
1/1/20,AZ,3131357,2368649,2833677,0.76,0.9
1/1/21,AZ,3146106,2833677,2862587,0.9,0.91
1/1/22,AZ,3188212,2862587,2900419,0.9,0.91
1/1/18,CA,15214454,7905430,13884711,0.52,0.91
1/1/19,CA,15662468,13884711,14607664,0.89,0.93
1/1/20,CA,15662468,14607664,14725678,0.93,0.94
1/1/21,CA,15543756,14725678,14831658,0.95,0.95
1/1/22,CA,15666677,14831658,14946891,0.95,0.95
1/1/18,CO,2607518,2056289,2297484,0.79,0.88
1/1/19,CO,2662262,2094880,2211524,0.79,0.83
1/1/20,CO,2687948,2178551,2245723,0.81,0.84
1/1/21,CO,2734027,2212369,2280090,0.81,0.83
1/1/22,CO,2768968,2246240,2313403,0.81,0.84
1/1/18,CT,1652869,1574027,1574027,0.95,0.95
1/1/19,CT,1668001,1552080,1578504,0.93,0.95
1/1/20,CT,1668001,1578504,1587060,0.95,0.95
1/1/21,CT,1667136,1587060,1592013,0.95,0.95
1/1/22,CT,1680077,1592013,1604488,0.95,0.96
1/1/18,DC,293563,293328,293328,1,1
1/1/19,DC,294054,272910,293563,0.93,1
1/1/20,DC,300953,293563,300953,0.98,1
1/1/21,DC,308750,300953,308750,0.97,1
1/1/22,DC,317140,308750,317140,0.97,1
1/1/18,DE,481030,413590,413590,0.86,0.86
1/1/19,DE,481030,399175,413590,0.83,0.86
1/1/20,DE,484459,411406,417865,0.85,0.86
1/1/21,DE,492105,417865,424338,0.85,0.86
1/1/22,DE,499849,424338,431451,0.85,0.86
1/1/18,FL,10166667,8784000,9867767,0.86,0.97
1/1/19,FL,10505702,9557234,10171381,0.91,0.97
1/1/20,FL,10648830,10069752,10365852,0.95,0.97
1/1/21,FL,10845961,9602281,10593085,0.89,0.98
1/1/22,FL,10989517,10562475,10768409,0.96,0.98
1/1/18,GA,4772845,4044986,4290310,0.85,0.9
1/1/19,GA,4851807,4036395,4170956,0.83,0.86
1/1/20,GA,4851807,4166333,4266073,0.86,0.88
1/1/21,GA,4789678,4266073,4326068,0.89,0.9
1/1/22,GA,5059196,4304426,4590663,0.85,0.91
1/1/18,GU,50843,0,0,0,0
1/1/19,GU,51821,0,0,0,0
1/1/20,GU,51821,0,0,0,0
