county_fips,county,veterans_2023,veterans_2024,veterans_2025,veterans_2026,veterans_2027,veterans_2028,veterans_2029,veterans_2030
01001,"Autauga, AL",5889,5857,5834,5799,5766,5734,5689,5650
01003,"Baldwin, AL",19139,19333,19520,19690,19845,19959,20070,20169
01005,"Barbour, AL",1529,1496,1467,1437,1406,1383,1359,1335
01007,"Bibb, AL",1093,1093,1086,1084,1079,1078,1077,1068
01009,"Blount, AL",3179,3072,2967,2870,2774,2680,2588,2499
01011,"Bullock, AL",423,419,412,404,397,388,381,374
01013,"Butler, AL",1265,1240,1213,1189,1159,1133,1103,1069
01015,"Calhoun, AL",8828,8661,8494,8330,8157,8005,7834,7674
01017,"Chambers, AL",2053,2000,1950,1900,1855,1810,1768,1728
01019,"Cherokee, AL",1494,1442,1393,1341,1297,1254,1217,1179
01021,"Chilton, AL",2210,2122,2041,1958,1878,1796,1716,1643
01023,"Choctaw, AL",685,657,629,603,580,557,535,514
01025,"Clarke, AL",1342,1319,1298,1276,1259,1243,1228,1218
01027,"Clay, AL",838,813,789,762,738,711,682,654
01029,"Cleburne, AL",858,858,856,849,850,849,852,851
01031,"Coffee, AL",7428,7378,7335,7282,7240,7190,7136,7074
01033,"Colbert, AL",3272,3180,3093,2994,2905,2819,2741,2667
01035,"Conecuh, AL",727,703,678,652,628,606,585,564
01037,"Coosa, AL",766,752,737,716,693,676,660,647
01039,"Covington, AL",2741,2663,2593,2526,2453,2383,2311,2234
01041,"Crenshaw, AL",848,817,785,754,722,691,663,638
01043,"Cullman, AL",5166,5096,5027,4965,4880,4798,4706,4614
01045,"Dale, AL",7176,7019,6880,6747,6608,6477,6348,6216
01047,"Dallas, AL",2176,2131,2084,2036,1988,1939,1892,1842
01049,"De Kalb, AL",3443,3404,3364,3323,3273,3218,3163,3099
01051,"Elmore, AL",7877,7757,7651,7551,7462,7378,7319,7265
01053,"Escambia, AL",2137,2092,2056,2024,1989,1956,1924,1895
01055,"Etowah, AL",6072,5873,5688,5505,5323,5157,4994,4840
01057,"Fayette, AL",1050,1017,985,952,918,887,854,827
01059,"Franklin, AL",1257,1229,1203,1179,1153,1130,1101,1071
01061,"Geneva, AL",2256,2249,2230,2216,2192,2180,2155,2130
01063,"Greene, AL",464,458,450,442,434,429,425,423
01065,"Hale, AL",828,823,810,796,784,776,767,757
01067,"Henry, AL",1280,1270,1261,1250,1241,1231,1221,1202
