zip,county_fips,share,source
00601,72001,0.9876,census_rel2020_zcta_county retrieved 2026-09-20
00602,72003,0.9998,census_rel2020_zcta_county retrieved 2026-09-20
00603,72005,0.9976,census_rel2020_zcta_county retrieved 2026-09-20
00606,72093,0.8227,census_rel2020_zcta_county retrieved 2026-09-20
00610,72011,0.9676,census_rel2020_zcta_county retrieved 2026-09-20
00611,72141,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00612,72013,0.9896,census_rel2020_zcta_county retrieved 2026-09-20
00616,72013,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00617,72017,0.9965,census_rel2020_zcta_county retrieved 2026-09-20
00622,72023,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00623,72023,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00624,72111,0.9501,census_rel2020_zcta_county retrieved 2026-09-20
00627,72027,0.9997,census_rel2020_zcta_county retrieved 2026-09-20
00631,72001,0.5054,census_rel2020_zcta_county retrieved 2026-09-20
00636,72125,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00637,72121,0.9400,census_rel2020_zcta_county retrieved 2026-09-20
00638,72039,0.9189,census_rel2020_zcta_county retrieved 2026-09-20
00641,72141,0.9996,census_rel2020_zcta_county retrieved 2026-09-20
00646,72051,0.9715,census_rel2020_zcta_county retrieved 2026-09-20
00647,72055,0.9821,census_rel2020_zcta_county retrieved 2026-09-20
00650,72054,0.4775,census_rel2020_zcta_county retrieved 2026-09-20
00652,72013,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00653,72055,0.9745,census_rel2020_zcta_county retrieved 2026-09-20
00656,72059,0.9704,census_rel2020_zcta_county retrieved 2026-09-20
00659,72065,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00660,72067,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00662,72071,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00664,72073,0.9493,census_rel2020_zcta_county retrieved 2026-09-20
00667,72079,0.9809,census_rel2020_zcta_county retrieved 2026-09-20
00669,72081,0.9344,census_rel2020_zcta_county retrieved 2026-09-20
00670,72083,0.9570,census_rel2020_zcta_county retrieved 2026-09-20
00674,72091,0.9945,census_rel2020_zcta_county retrieved 2026-09-20
00676,72099,0.9919,census_rel2020_zcta_county retrieved 2026-09-20
00677,72117,0.9807,census_rel2020_zcta_county retrieved 2026-09-20
00678,72115,0.7779,census_rel2020_zcta_county retrieved 2026-09-20
00680,72097,0.9415,census_rel2020_zcta_county retrieved 2026-09-20
00682,72097,0.9983,census_rel2020_zcta_county retrieved 2026-09-20
00683,72125,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00685,72131,0.8766,census_rel2020_zcta_county retrieved 2026-09-20
00687,72101,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00688,72013,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00690,72005,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00692,72143,0.9985,census_rel2020_zcta_county retrieved 2026-09-20
00693,72145,0.9828,census_rel2020_zcta_county retrieved 2026-09-20
00694,72145,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00698,72153,0.9781,census_rel2020_zcta_county retrieved 2026-09-20
00703,72007,0.9317,census_rel2020_zcta_county retrieved 2026-09-20
00704,72123,0.9747,census_rel2020_zcta_county retrieved 2026-09-20
00705,72009,0.9718,census_rel2020_zcta_county retrieved 2026-09-20
00707,72095,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00714,72015,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00715,72113,0.9917,census_rel2020_zcta_county retrieved 2026-09-20
00716,72113,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00717,72113,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00718,72103,0.9988,census_rel2020_zcta_county retrieved 2026-09-20
00719,72105,0.9714,census_rel2020_zcta_county retrieved 2026-09-20
00720,72107,0.9930,census_rel2020_zcta_county retrieved 2026-09-20
00723,72109,0.9947,census_rel2020_zcta_county retrieved 2026-09-20
00725,72025,0.8713,census_rel2020_zcta_county retrieved 2026-09-20
00727,72025,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00728,72113,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00729,72029,0.9152,census_rel2020_zcta_county retrieved 2026-09-20
00730,72113,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00731,72113,0.9702,census_rel2020_zcta_county retrieved 2026-09-20
00735,72037,0.9461,census_rel2020_zcta_county retrieved 2026-09-20
00736,72035,0.9245,census_rel2020_zcta_county retrieved 2026-09-20
00738,72053,0.9955,census_rel2020_zcta_county retrieved 2026-09-20
00739,72041,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00740,72053,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00741,72069,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00745,72119,0.9979,census_rel2020_zcta_county retrieved 2026-09-20
00751,72123,0.9984,census_rel2020_zcta_county retrieved 2026-09-20
00754,72129,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00757,72133,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00765,72147,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00766,72149,0.9335,census_rel2020_zcta_county retrieved 2026-09-20
00767,72151,0.9933,census_rel2020_zcta_county retrieved 2026-09-20
00769,72043,0.9805,census_rel2020_zcta_county retrieved 2026-09-20
00771,72085,0.9897,census_rel2020_zcta_county retrieved 2026-09-20
00772,72087,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00773,72089,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00775,72049,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00777,72077,0.9865,census_rel2020_zcta_county retrieved 2026-09-20
00778,72063,0.9402,census_rel2020_zcta_county retrieved 2026-09-20
00780,72113,0.9833,census_rel2020_zcta_county retrieved 2026-09-20
00782,72045,0.9738,census_rel2020_zcta_county retrieved 2026-09-20
00783,72047,0.9906,census_rel2020_zcta_county retrieved 2026-09-20
00784,72057,0.9712,census_rel2020_zcta_county retrieved 2026-09-20
00786,72009,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00791,72069,0.9786,census_rel2020_zcta_county retrieved 2026-09-20
00794,72019,0.9654,census_rel2020_zcta_county retrieved 2026-09-20
00795,72075,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00802,78030,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00820,78010,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00830,78020,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00840,78010,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00850,78010,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00851,78010,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00901,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00906,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00907,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00909,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00911,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00912,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00913,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00915,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00917,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00918,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00920,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00921,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00923,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00924,72127,0.9650,census_rel2020_zcta_county retrieved 2026-09-20
00925,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00926,72127,0.8351,census_rel2020_zcta_county retrieved 2026-09-20
00927,72127,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00934,72061,0.6908,census_rel2020_zcta_county retrieved 2026-09-20
00949,72137,0.9591,census_rel2020_zcta_county retrieved 2026-09-20
00950,72051,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00951,72137,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00952,72137,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00953,72135,0.9846,census_rel2020_zcta_county retrieved 2026-09-20
00956,72021,0.9787,census_rel2020_zcta_county retrieved 2026-09-20
00957,72021,0.9321,census_rel2020_zcta_county retrieved 2026-09-20
00959,72021,0.9869,census_rel2020_zcta_county retrieved 2026-09-20
00960,72021,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00961,72021,0.9903,census_rel2020_zcta_county retrieved 2026-09-20
00962,72033,0.8589,census_rel2020_zcta_county retrieved 2026-09-20
00965,72061,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00966,72061,0.8550,census_rel2020_zcta_county retrieved 2026-09-20
00968,72061,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00969,72061,0.8503,census_rel2020_zcta_county retrieved 2026-09-20
00971,72061,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00976,72139,0.9463,census_rel2020_zcta_county retrieved 2026-09-20
00979,72031,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00982,72031,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00983,72031,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00985,72031,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
00987,72031,0.9984,census_rel2020_zcta_county retrieved 2026-09-20
01001,25013,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
01002,25015,0.9324,census_rel2020_zcta_county retrieved 2026-09-20
01003,25015,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
01005,25027,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
01007,25015,1.0000,census_rel2020_zcta_county retrieved 2026-09-20
